product_author,product_imagelink,product_name,product_price
"Dude Perfect,Taylor Jenkins Reid,James Patterson,Bill Clinton,Elin Hilderbrand,Alex Michaelides,Clint Smith,Rachel Held Evans,Matthew Paul Turner,Amanda Kloots,Anna Kloots,Meghan  The Duchess of Sussex,Christian Robinson,Zakiya Dalila Harris,Michael Knowles,Matt Frazier,Robert Cheeke,E L James,Ben Rhodes,Jess Connolly,Nathan Harris","https://m.media-amazon.com/images/I/71Wdlcm9X7S._AC_UY218_.jpg,https://m.media-amazon.com/images/I/914BkcGCNgS._AC_UY218_.jpg,https://m.media-amazon.com/images/I/71bGKnfgZtL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/71trGokuoLS._AC_UY218_.jpg,https://m.media-amazon.com/images/I/81K05pTbJUL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/81RA8nouFpS._AC_UY218_.jpg,https://m.media-amazon.com/images/I/91oBHJebsML._AC_UY218_.jpg,https://m.media-amazon.com/images/I/81q9FqX7NfL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/81DiTS8mKkS._AC_UY218_.jpg,https://m.media-amazon.com/images/I/8105Vm9H+tS._AC_UY218_.jpg,https://m.media-amazon.com/images/I/71R8H1PuNdS._AC_UY218_.jpg,https://m.media-amazon.com/images/I/71xS4UfKNiL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/71PGZ89mHLS._AC_UY218_.jpg,https://m.media-amazon.com/images/I/916I7ZLbwPL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/71AYUH6K7IL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/91cIo5GZITS._AC_UY218_.jpg","Dude Perfect 101 Tricks, Tips, and Cool Stuff,Malibu Rising: A Novel,The President's Daughter: A Thriller,Golden Girl,The Maidens,How the Word Is Passed: A Reckoning with the History of Slavery Across America,What Is God Like?,Live Your Life: My Story of Loving and Losing Nick Cordero,The Bench,The Other Black Girl: A Novel,Speechless: Controlling Words, Controlling Minds,The Plant-Based Athlete: A Game-Changing Approach to Peak Performance,Freed: Fifty Shades Freed as Told by Christian (Fifty Shades as Told by Christian Book 3),After the Fall: Being American in the World We've Made,Breaking Free from Body Shame: Dare to Reclaim What God Has Named Good,The Sweetness of Water (Oprah's Book Club): A Novel","12,.,16,.,0,.,17,.,14,.,0,.,8,.,0,.,0,.,12,.,0,.,0,.,12,.,0,.,0,.,0,."
"Tia Williams,Jill McElmurry,Casey McQuiston,Charles Murray,Jean Becker,Ashley C. Ford,Sinéad O'Connor,Jim Morrison,Jon Gordon,r.h. Sin,Samantha King Holmes,George Packer,Tony Oppedisano,Craig Melvin,Chris Tomlinson","https://m.media-amazon.com/images/I/91SGsHUo+KS._AC_UY218_.jpg,https://m.media-amazon.com/images/I/A1ee9JJRUCS._AC_UY218_.jpg,https://m.media-amazon.com/images/I/614I7UJTY-S._AC_UY218_.jpg,https://m.media-amazon.com/images/I/71IP8+1dJzL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/91FE941xkgL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/61spZldPCaL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/714c3+WWXOS._AC_UY218_.jpg,https://m.media-amazon.com/images/I/71epyw+OShS._AC_UY218_.jpg,https://m.media-amazon.com/images/I/41yJTCF8IhS._AC_UY218_.jpg,https://m.media-amazon.com/images/I/91-0IDQTNOL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/71uwznySLCS._AC_UY218_.jpg,https://m.media-amazon.com/images/I/915AdqYJ3zL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/81A305G8QyL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/61UAcdlxV4S._AC_UY218_.jpg,https://m.media-amazon.com/images/I/816ZkRPUrJL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/A1JruQJ1t9L._AC_UY218_.jpg","Seven Days in June,Time for School, Little Blue Truck,One Last Stop,Hormone Intelligence: The Complete Guide to Calming Hormone Chaos and Restoring Your Body's Natural Blueprint for Well-Being,Facing Reality: Two Truths about Race in America,The Man I Knew: The Amazing Story of George H. W. Bush's Post-Presidency,Somebody's Daughter: A Memoir,Gothic Violence,Rememberings,The Collected Works of Jim Morrison: Poetry, Journals, Transcripts, and Lyrics,Row the Boat: A Never-Give-Up Approach to Lead with Enthusiasm and Optimism and Improve Your Team and Culture (Jon Gordon),She Fits Inside These Words (Volume 4) (What She Felt),Last Best Hope: America in Crisis and Renewal,Sinatra and Me: In the Wee Small Hours,Pops: Learning to Be a Son and a Father,Forget the Alamo: The Rise and Fall of an American Myth","13,.,13,.,10,.,0,.,9,.,0,.,0,.,0,.,0,.,14,.,8,.,0,.,14,.,0,.,13,."
"Andy Slavitt,Jeff Lemire,Lin-Manuel Miranda,Kohei Horikoshi,Bill Cowher,Michael Kay,Gillian Tett,Edward Slingerland,Christine Caine,Dhonielle Clayton,Tiffany D Jackson,Jeff Shesol","https://m.media-amazon.com/images/I/61TEy4K5USL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/81M3c1GX0eS._AC_UY218_.jpg,https://m.media-amazon.com/images/I/81ZQ5pdND9S._AC_UY218_.jpg,https://m.media-amazon.com/images/I/914NjDDN8lL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/818gvzJ9eHS._AC_UY218_.jpg,https://m.media-amazon.com/images/I/81Ca0MnQELL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/71aVXfGY8kS._AC_UY218_.jpg,https://m.media-amazon.com/images/I/61LpoDB8BjS._AC_UY218_.jpg,https://m.media-amazon.com/images/I/91L0ruV1WjL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/71IJ2TC29LL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/71SiDUmY17L._AC_UY218_.jpg,https://m.media-amazon.com/images/I/51-GeRS+0KS._AC_UY218_.jpg,https://m.media-amazon.com/images/I/71bcv20nXnS._AC_UY218_.jpg,https://m.media-amazon.com/images/I/715OIL56XmS._AC_UY218_.jpg,https://m.media-amazon.com/images/I/81YDIHmBFLL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/61vq4V+ESiS._AC_UY218_.jpg","The Skinny Confidential's Get the F*ck Out of the Sun: Routines, Products, Tips, and Insider Secrets from 100+ of the World's Best Skincare Gurus,Preventable: The Inside Story of How Leadership Failures, Politics, and Selfishness Doomed the U.S. Coronavirus Response,Sweet Tooth Compendium,In the Heights: Finding Home,Tom Clancy Target Acquired,My Hero Academia, Vol. 28 (28),Heart and Steel,The Luckiest Man in the World: Stories from the life of Papa Jake,The Game Master: Summer Schooled,CenterStage: My Most Fascinating Interviews―from A-Rod to Jay-Z,Anthro-Vision: A New Way to See in Business and Life,Charade: The Covid Lies That Crushed A Nation,Drunk: How We Sipped, Danced, and Stumbled Our Way to Civilization,How Did I Get Here?: Finding Your Way Back to God When Everything is Pulling You Away,Blackout,Mercury Rising: John Glenn, John Kennedy, and the New Battleground of the Cold War","9,.,0,.,0,.,14,.,6,.,0,.,5,.,0,.,14,.,14,.,9,.,0,.,0,.,0,.,9,."
"Ina Garten,Margalit Fox,Jonathan Rauch,Tatsuki Fujimoto,Virginia Hume,Chris Matthews,Katee Robert,Kristin Kobes Du Mez,Marshall Allen,Chris Bosh,John N Maclean,Tyler Feder","https://m.media-amazon.com/images/I/71leG1prB+S._AC_UY218_.jpg,https://m.media-amazon.com/images/I/81cxsP96mLL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/71JHRicfPvL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/81bon2UnBkL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/913Es7DUJTS._AC_UY218_.jpg,https://m.media-amazon.com/images/I/61IoQ9xa3WS._AC_UY218_.jpg,https://m.media-amazon.com/images/I/71Yw7yNnDNL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/81iFp1zKbSL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/61Qoq-PLxfL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/91PC8BPBoVL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/91RoLCwHWYL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/911aDtTcCvS._AC_UY218_.jpg,https://m.media-amazon.com/images/I/81ueVd8e4fL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/91VLXX7LkMS._AC_UY218_.jpg,https://m.media-amazon.com/images/I/911saUrVd4L._AC_UY218_.jpg,https://m.media-amazon.com/images/I/81X4MEFs7HS._AC_UY218_.jpg","Vegetarian through the four seasons: With delicious seasonal recipes that delight the palate,The Confidence Men: How Two Prisoners of War Engineered the Most Remarkable Escape in History,The Constitution of Knowledge: A Defense of Truth,Chainsaw Man, Vol. 5 (5),Haven Point: A Novel,The Adversaries: A Story of Boston and Bunker Hill,This Country: My Life in Politics and History,Neon Gods: A Scorchingly Hot Modern Retelling of Hades and Persephone (Dark Olympus Book 1),Jesus and John Wayne: How White Evangelicals Corrupted a Faith and Fractured a Nation,Never Pay the First Bill: And Other Ways to Fight the Health Care System and Win,Letters to a Young Athlete,How to Survive America,Home Waters: A Chronicle of Family and a River,The Secret Keeper of Jaipur: A Novel,Bodies Are Cool,The Damage: A Novel","0,.,13,.,0,.,6,.,14,.,0,.,0,.,12,.,0,.,0,.,0,.,19,.,12,.,14,.,10,.,23,."
"L. Jon Wertheim,Tara Brach,Dan Abrams,Gege Akutami,Buronson,Karl Deisseroth,Koyoharu Gotouge,James Patterson,Lisa Taddeo,Pierre J. Piscitelli,Carol Anderson,Bill Bratton,Peter Knobler,Andy Martino","https://m.media-amazon.com/images/I/71j65QxelNL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/91KteTLR7hL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/81ZgUXvVqdL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/81fuNV7XsnL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/81zXIbMTh2L._AC_UY218_.jpg,https://m.media-amazon.com/images/I/91zhqRSrxSL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/81FFj4bb4HL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/81usG+6SF-L._AC_UY218_.jpg,https://m.media-amazon.com/images/I/81k3-0-eIGL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/91N5RXLpunS._AC_UY218_.jpg,https://m.media-amazon.com/images/I/915ScE5HlML._AC_UY218_.jpg,https://m.media-amazon.com/images/I/71cM3BXvAhL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/516of5iuypS._AC_UY218_.jpg,https://m.media-amazon.com/images/I/81Bp5z4CefL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/717iAPWuQJS._AC_UY218_.jpg,https://m.media-amazon.com/images/I/81DeGPwS1OL._AC_UY218_.jpg","Glory Days: The Summer of 1984 and the 90 Days That Changed Sports and Culture Forever,Trusting the Gold: Uncovering Your Natural Goodness,Kennedy's Avenger: Assassination, Conspiracy, and the Forgotten Trial of Jack Ruby,Jujutsu Kaisen, Vol. 10 (10),Fist of the North Star, Vol. 1 (1),Projections: A Story of Human Emotions,You're My Little Firecracker,Demon Slayer: Kimetsu no Yaiba, Vol. 22 (22),Ali Cross: Like Father, Like Son,Fierce Self-Compassion: How Women Can Harness Kindness to Speak Up, Claim Their Power, and Thrive,Hellsing Deluxe Volume 3,Animal: A Novel,The Music of Lyle Mays: Compositions, Transcriptions and Musical Transformations: Sheet Music,The Second: Race and Guns in a Fatally Unequal America,The Profession: A Memoir of Community, Race, and the Arc of Policing in America,Cheated: The Inside Story of the Astros Scandal and a Colorful History of Sign Stealing","0,.,0,.,14,.,6,.,10,.,0,.,6,.,11,.,23,.,14,.,9,.,0,.,0,."
"Lawrence Wright,Steve Benen,Scott O'Neil,Alice Waters,Samah Dada,Pastor Greg Locke,Kai Bird,Ursula Burns,Laura Lippman,Nathan W. Pyle,Tiya Miles,Craig Kessler,Maureen Johnson","https://m.media-amazon.com/images/I/81rB3kTlCsL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/81Ed6hL52IL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/81tv9HXdXQL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/71KA76KobRS._AC_UY218_.jpg,https://m.media-amazon.com/images/I/912zS0I2RhL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/81Gky7QUo9L._AC_UY218_.jpg,https://m.media-amazon.com/images/I/A1ASo+44GaL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/61gbaKo1MqS._AC_UY218_.jpg,https://m.media-amazon.com/images/I/81oLAsorYYS._AC_UY218_.jpg,https://m.media-amazon.com/images/I/81O78oTltfL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/91t06lh4+NS._AC_UY218_.jpg,https://m.media-amazon.com/images/I/91v5ubEARdL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/71kSzheDSxL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/A1iEkeL4JyL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/719U4mUhsrL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/91S-kPwAAIS._AC_UY218_.jpg","Ace of Spades,The Plague Year: America in the Time of Covid,The Impostors: How Republicans Quit Governing and Seized American Politics,Be Where Your Feet Are: Seven Principles to Keep You Present, Grounded, and Thriving,Victim F: From Crime Victims to Suspects to Survivors,We Are What We Eat: A Slow Food Manifesto,Dada Eats Love to Cook It: 100 Plant-Based Recipes for Everyone at Your Table: A Cookbook,Weapons of Our Warfare: Unleashing the Power of the Armor of God (Pastor Greg Locke: Spiritual Warfare Series),The Outlier: The Unfinished Presidency of Jimmy Carter,Where You Are Is Not Who You Are: A Memoir,Ridgeline: A Novel,Dream Girl: A Novel,Strange Planet: The Sneaking, Hiding, Vibrating Creature,All That She Carried: The Journey of Ashley's Sack, a Black Family Keepsake,The Dad Advice Project: Words of Wisdom From Guys Who Love Being Dads,The Box in the Woods","0,.,15,.,0,.,0,.,0,.,0,.,13,.,0,.,0,.,22,.,21,.,12,.,13,.,9,.,0,."
"Pamela M. Kelley,Jeff Shaara,Tatsuya Endo,Annie Murphy Paul,Rebecca Minkoff,Charles Martin,Geoff Johns,Sean ""Sticks"" Larkin,Kevin Cook,Kim Harrison,Jessamyn Stanley,MaryRuth Ghiyam","https://m.media-amazon.com/images/I/71F-uZmRACS._AC_UY218_.jpg,https://m.media-amazon.com/images/I/71RaEA1iCOL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/81T+4hbKEXL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/716tJmz71WL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/617EulJHc0S._AC_UY218_.jpg,https://m.media-amazon.com/images/I/81Apdjc2F2L._AC_UY218_.jpg,https://m.media-amazon.com/images/I/91fXt9cgwfL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/91+KvpgzPDL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/81ccliAJiDL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/71bP6mXhRlL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/81wF7OzS+fL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/71HstWjdbHS._AC_UY218_.jpg,https://m.media-amazon.com/images/I/91iIRVD4XTL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/91fcmI1rS7L._AC_UY218_.jpg,https://m.media-amazon.com/images/I/718Cudv8iFL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/711gu0IacvL._AC_UY218_.jpg","Provence Style: Decorating with French Country Flair,The Hotel,The Eagle's Claw: A Novel of the Battle of Midway,Spy x Family, Vol. 5 (5),The Maine House,The Extended Mind: The Power of Thinking Outside the Brain,Fearless: The New Rules for Unlocking Creativity, Courage, and Success,The Letter Keeper (A Murphy Shepherd Novel Book 2),Batman: Earth One Vol. 3,Breaking Blue: Real Life Stories of Cops Falsely Accused,The Burning Blue: The Untold Story of Christa McAuliffe and NASA's Challenger Disaster,The Price We Pay: What Broke American Health Care--and How to Fix It,Million Dollar Demon (Hollows Book 15),Daylight,Yoke: My Yoga of Self-Acceptance,Liquids till Lunch: 12 Small Habits That Will Change Your Life for Good","13,.,21,.,6,.,0,.,0,.,20,.,19,.,11,.,14,.,0,.,0,.,11,.,0,.,0,."
"Amanda Montell,Alyssa Joy Bethke,Akira Toriyama,ONE,Jack Posobiec,Rebecca Hall,Eric LaRocca,MJ DeMarco,Tom Lin,Bryon Quertermous,P. J. Vernon,Hannah Whitten","https://m.media-amazon.com/images/I/51Osf8t2FeS._AC_UY218_.jpg,https://m.media-amazon.com/images/I/91PQAmODS0L._AC_UY218_.jpg,https://m.media-amazon.com/images/I/81CoMp5wjEL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/41LyLfk2WuL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/815G-m2qS3L._AC_UY218_.jpg,https://m.media-amazon.com/images/I/81PjfWWkAjL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/61WpB50IZDS._AC_UY218_.jpg,https://m.media-amazon.com/images/I/81xQgLouhrL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/81K7GM9f0uL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/81hWedbvneL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/71ZjJIWi2GS._AC_UY218_.jpg,https://m.media-amazon.com/images/I/81sKWJuKD9S._AC_UY218_.jpg,https://m.media-amazon.com/images/I/81ab2ihE54L._AC_UY218_.jpg,https://m.media-amazon.com/images/I/91QY6GGdphL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/81Elg8DiwVL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/91+S+LXPRXS._AC_UY218_.jpg","Cultish: The Language of Fanaticism,Satisfied: Finding Hope, Joy, and Contentment Right Where You Are,Dragon Ball Super, Vol. 13 (13),Lisey's Story,The 10-Day Belly Slimdown: Lose Your Belly, Heal Your Gut, Enjoy a Lighter, Younger You,One-Punch Man, Vol. 22 (22),The Antifa: Stories From Inside the Black Bloc,The Great Dissenter: The Story of John Marshall Harlan, America's Judicial Hero,Wake: The Hidden History of Women-Led Slave Revolts,Things Have Gotten Worse Since We Last Spoke,Unscripted - The Great Rat-Race Escape: From Wage Slavery to Wealth: How to Start a Purpose Driven Business and Win Financial Freedom for a Lifetime,The Thousand Crimes of Ming Tsu,Jackpot (A Teddy Fay Novel Book 5),Bath Haus: A Thriller,A Quantum Life: My Unlikely Journey from the Street to the Stars,For the Wolf (The Wilderwood, 1)","0,.,0,.,6,.,12,.,12,.,6,.,8,.,0,.,14,.,11,.,22,.,23,.,0,.,22,.,0,.,9,."
"Kevin Hart,Geoff Rodkey,Beatriz Williams,Danielle Henderson,AidaIro,Iris Johansen,James Ellroy,Julianne MacLean,Alexander Lobrano,Tom Taylor,Brian Stelter,Molly Wilkinson,Al Ewing,Jaison Chahwala","https://m.media-amazon.com/images/I/91fbmRDTlvL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/81e5xSAqQ1L._AC_UY218_.jpg,https://m.media-amazon.com/images/I/81FhMUJ2O8L._AC_UY218_.jpg,https://m.media-amazon.com/images/I/91tFt7UtZPL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/81gN37xTYCL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/91VhZFKnAHS._AC_UY218_.jpg,https://m.media-amazon.com/images/I/A1MuKCVruFL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/91l7AmorKbL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/61HcCXMCPBL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/81IQCDxnChS._AC_UY218_.jpg,https://m.media-amazon.com/images/I/71wesW8DqxS._AC_UY218_.jpg,https://m.media-amazon.com/images/I/71YRzDE+rdS._AC_UY218_.jpg,https://m.media-amazon.com/images/I/811q5lo4GRS._AC_UY218_.jpg,https://m.media-amazon.com/images/I/61o4exNJIgS._AC_UY218_.jpg,https://m.media-amazon.com/images/I/91MqRINwZoS._AC_UY218_.jpg,https://m.media-amazon.com/images/I/61go9-GEBuS._AC_UY218_.jpg","One Two Three: A Novel,Marcus Makes a Movie,Our Woman in Moscow: A Novel,The Ugly Cry: A Memoir,Toilet-bound Hanako-kun, Vol. 9 (Toilet-bound Hanako-kun, 9),The Bullet (Eve Duncan Book 27),Widespread Panic: A novel,These Tangled Vines: A Novel,My Place at the Table: A Recipe for a Delicious Life in Paris,(ISC)2 CISSP Certified Information Systems Security Professional Official Study Guide,DCeased: Hope At World's End,Hoax: Donald Trump, Fox News, and the Dangerous Distortion of Truth,French Pastry Made Simple: Foolproof Recipes for Éclairs, Tarts, Macarons and More,The Twin Thieves: How Great Leaders Build Great Teams,Loki: Agent of Asgard - The Complete Collection,First Admission: A Handbook to New Grad Nursing","21,.,0,.,20,.,0,.,6,.,0,.,14,.,0,.,14,.,42,.,20,.,0,.,11,.,9,.,0,.,6,."
"Mariana Velásquez,Philip D'Anieri,Sarah Clarkson,Jodie Berndt,Rachel Griffin,Skye Jethani,J.A. Jance,Elinor Cleghorn,Ron Friedman,Laurie R. King,Joshua Henkin","https://m.media-amazon.com/images/I/91I20YT73WL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/91crumT1v6L._AC_UY218_.jpg,https://m.media-amazon.com/images/I/91zqdh9qC+L._AC_UY218_.jpg,https://m.media-amazon.com/images/I/71ANbvhGzmS._AC_UY218_.jpg,https://m.media-amazon.com/images/I/71zpgsrjR0S._AC_UY218_.jpg,https://m.media-amazon.com/images/I/91w1GZ5GNPL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/81wmO1FbO3S._AC_UY218_.jpg,https://m.media-amazon.com/images/I/71vQj4Fh7HS._AC_UY218_.jpg,https://m.media-amazon.com/images/I/81tBOyYW26L._AC_UY218_.jpg,https://m.media-amazon.com/images/I/710z+8pnW0L._AC_UY218_.jpg,https://m.media-amazon.com/images/I/91WZ0RKCRQL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/81Cy+IoUlJL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/8196LXmUi3L._AC_UY218_.jpg,https://m.media-amazon.com/images/I/91igeuLa2TL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/81MZsVfcduL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/81jXYFDzCxL._AC_UY218_.jpg","Mexican Gothic,Colombiana: A Rediscovery of Recipes and Rituals from the Soul of Colombia,The Appalachian Trail: A Biography,This Beautiful Truth,The Ultimate Guide to Selling Your Home: How the Nation's Top Agents Break Records,Praying the Scriptures for Your Life: 31 Days of Abiding in the Presence, Provision, and Power of God,The Nature of Witches,Angel Mine,What if Jesus Was Serious ... About Prayer?: A Visual Guide to the Spiritual Practice Most of Us Get Wrong,Unfinished Business (Ali Reynolds Series Book 16),Operation Pedestal: The Fleet That Battled to Malta, 1942,Unwell Women: Misdiagnosis and Myth in a Man-Made World,Decoding Greatness: How the Best in the World Reverse Engineer Success,Invisible Girl: A Novel,Castle Shade: A novel of suspense featuring Mary Russell and Sherlock Holmes,Morningside Heights: A Novel","13,.,16,.,0,.,13,.,9,.,9,.,9,.,9,.,0,.,16,.,0,.,0,.,12,.,0,.,23,."
